"id","field_name",,,
146,"Airman",,,
147,"AIRPLANE COVERER",,,
148,"AIRPLANE INSPECTOR",,,
149,"AIRPLANE-CHARTER CLERK",,,
150,"AIRPLANE-DISPATCH CLERK",,,
151,"AIRPLANE-FLIGHT ATTENDANT",,,
152,"AIRPLANE-GAS-TANK-LINER ASSEMBLER",,,
153,"AIRPLANE-PILOT HELPER",,,
154,"AIRPORT ATTENDANT",,,
155,"Airport Controller",,,
156,"AIRPORT ELECTRICIAN",,,
157,"AIRPORT ENGINEER",,,
158,"Airport Manager",,,
159,"AIRPORT UTILITY WORKER",,,
160,"AIRPORT-MAINTENANCE CHIEF",,,
161,"AIR-TABLE OPERATOR",,,
162,"AIR-VALVE REPAIRER",,,
163,"ALARM INVESTIGATOR",,,
164,"ALARM OPERATOR",,,
165,"ALIGNER, BARREL AND RECEIVER",,,
166,"ALIGNER, TYPEWRITER",,,
167,"ALLERGIST-IMMUNOLOGIST",,,
168,"ALMOND BLANCHER, HAND",,,
169,"ALMOND HULLER",,,
170,"ALMOND-BLANCHER OPERATOR",,,
171,"ALMOND-CUTTING-MACHINE TENDER",,,
172,"ALMOND-PASTE MIXER",,,
173,"ALMOND-PASTE MOLDER",,,
174,"Almoner",,,
175,"ALODIZE-MACHINE HELPER",,,
176,"ALODIZE-MACHINE OPERATOR",,,
177,"ALTERATION TAILOR",,,
178,"ALTERATIONS WORKROOM CLERK",,,
179,"ALUMINA-PLANT SUPERVISOR",,,
180,"ALUMINUM-CONTAINER TESTER",,,
181,"ALUMINUM-HYDROXIDE-PROCESS OPERATOR",,,
182,"ALUMINUM-POOL INSTALLER",,,
183,"ALUMNI SECRETARY",,,
184,"ALUM-PLANT OPERATOR",,,
185,"AMALGAMATOR",,,
186,"AMBULANCE ATTENDANT",,,
187,"Ambulance Controller",,,
188,"Ambulance Crew",,,
189,"AMBULANCE DRIVER",,,
190,"AMMONIA-STILL OPERATOR",,,
191,"AMMONIUM-NITRATE CRYSTALLIZER",,,
192,"AMPHIBIAN CREWMEMBER",,,
193,"AMPOULE EXAMINER",,,
194,"AMPOULE FILLER",,,
195,"AMPOULE SEALER",,,
196,"AMPOULE-WASHING-MACHINE OPERATOR",,,
197,"Amusement Arcade Worker",,,
198,"AMUSEMENT PARK ENTERTAINER",,,
199,"AMUSEMENT PARK WORKER",,,
200,"Anaesthetist",,,
201,"Analyst",,,
202,"ANALYST, FOOD AND BEVERAGE",,,
203,"Analytical Chemist",,,
204,"ANATOMIST",,,
205,"ANESTHESIOLOGIST",,,
206,"ANGLE SHEAR OPERATOR",,,
207,"ANIMAL BREEDER",,,
208,"ANIMAL CARETAKER",,,
209,"ANIMAL EVISCERATOR",,,
210,"ANIMAL KEEPER",,,
211,"ANIMAL KEEPER, HEAD",,,
212,"ANIMAL SCIENTIST",,,
213,"ANIMAL TRAINER",,,
214,"ANIMAL TREATMENT INVESTIGATOR",,,
215,"ANIMAL-HOSPITAL CLERK",,,
216,"ANIMAL-NURSERY WORKER",,,
217,"ANIMAL-RIDE ATTENDANT",,,
218,"ANIMAL-RIDE MANAGER",,,
219,"ANIMAL-SHELTER CLERK",,,
220,"ANKLE-PATCH MOLDER",,,
221,"ANNEALER",,,
222,"ANNOUNCER",,,
223,"ANODE BUILDER",,,
224,"ANODE REBUILDER",,,
225,"ANODE-CREW SUPERVISOR",,,
226,"ANODIZER",,,
227,"ANTENNA INSTALLER",,,
228,"ANTENNA INSTALLER, SATELLITE COMMUNICATIONS",,,
229,"ANTHROPOLOGIST",,,
230,"ANTHROPOLOGIST, PHYSICAL",,,
231,"ANTICHECKING-IRON WORKER",,,
232,"Antique Dealer",,,
233,"ANTISQUEAK FILLER",,,
234,"ANTITANK ASSAULT GUNNER",,,
235,"ANVIL-SEATING-PRESS OPERATOR",,,
236,"APICULTURIST",,,
237,"APPAREL-RENTAL CLERK",,,
238,"APPEALS REFEREE",,,
239,"APPEALS REVIEWER, VETERAN",,,
240,"APPLE-PACKING HEADER",,,
241,"APPLIANCE ASSEMBLER, LINE",,,
242,"APPLIANCE REPAIRER",,,
243,"Applications Engineer",,,
244,"APPLICATIONS ENGINEER, MANUFACTURING",,,
245,"Applications Programmer",,,
246,"APPLIQUER, ZIGZAG",,,
247,"APPOINTMENT CLERK",,,
248,"APPRAISER, AUTOMOBILE DAMAGE",,,
249,"APRON CLEANER",,,
250,"AQUARIST",,,
251,"AQUATIC BIOLOGIST",,,
252,"AQUATIC PERFORMER",,,
253,"ARBITRATOR",,,
254,"ARBORER",,,
255,"Arborist",,,
256,"ARBOR-PRESS OPERATOR I",,,
257,"ARC CUTTER",,,
258,"Archaeologist",,,
259,"ARCH-CUSHION-PRESS OPERATOR",,,
260,"ARCH-CUSHION-SKIVING-MACHINE OPERATOR",,,
261,"ARCHEOLOGIST",,,
262,"ARCHITECT",,,
263,"ARCHITECT, MARINE",,,
264,"ARCHIVIST",,,
265,"ARCH-SUPPORT TECHNICIAN",," STRUCTURES AND SURFACES)",
266,"Area Manager",,,
267,"ARMATURE BANDER",,,
268,"ARMATURE CONNECTOR II",,,
269,"ARMATURE TESTER I",,,
270,"ARMATURE WINDER, REPAIR",,,
271,"ARMATURE-WINDER HELPER, REPAIR",,,
272,"ARMHOLE BASTER, JUMPBASTING",,,
273,"ARMHOLE FELLER, HANDSTITCHING MACHINE",,,
274,"ARMHOLE-SEW-AND-TRIM OPERATOR, LOCKSTITCH",,,
275,"ARMOR RECONNAISSANCE SPECIALIST",,,
276,"ARMORED-CAR GUARD",,,
277,"ARMORED-CAR GUARD AND DRIVER",,,
278,"ARMORER TECHNICIAN",,,
279,"ARMORING-MACHINE OPERATOR",,,
280,"Armourer",,,
281,"Aromatherapist",,,
282,"ARRANGER",,,
283,"ARROWSMITH",,,
284,"ART CONSERVATOR",,,
285,"Art Critic",,,
286,"Art Dealer",,,
287,"ART DIRECTOR",,,
288,"Art Historian",,,
289,"Art Restorer",,,
290,"ART THERAPIST",,,
291,"Artexer",,,
292,"ARTIFICIAL INSEMINATOR",,,
293,"ARTIFICIAL-BREEDING TECHNICIAN",,,
294,"ARTIFICIAL-CANDY MAKER",,,
295,"ARTIFICIAL-FLOWER MAKER",,,
296,"ARTIFICIAL-FOLIAGE ARRANGER",,,
297,"ARTIFICIAL-GLASS-EYE MAKER",,,
298,"ARTIFICIAL-LOG-MACHINE OPERATOR",,,
299,"ARTIFICIAL-PEARL MAKER",,,
300,"ARTIFICIAL-PLASTIC-EYE MAKER",,,
301,"ARTILLERY OR NAVAL GUNFIRE OBSERVER",,,
302,"ARTILLERY-MAINTENANCE SUPERVISOR",,,
303,"Artist",,,
304,"ARTIST AND REPERTOIRE MANAGER",,,
305,"ARTIST, MANNEQUIN COLORING",,,
306,"ARTIST, SUSPECT",,,
307,"Arts",,,
308,"ASBESTOS REMOVAL WORKER",,,
309,"ASBESTOS-SHINGLE INSPECTOR",,,
310,"ASBESTOS-SHINGLE SHEARING-MACHINE OPERATOR",,,
311,"ASBESTOS-WIRE FINISHER",,,
312,"ASPHALT-DISTRIBUTOR TENDER",,,
313,"ASPHALT-HEATER TENDER",,,
314,"ASPHALT-PAVING-MACHINE OPERATOR",,,
315,"ASSAYER",,,
316,"ASSEMBLER",,,
317,"ASSEMBLER AND TESTER, ELECTRONICS",,,
318,"ASSEMBLER AND WIRER, INDUSTRIAL EQUIPMENT",,,
319,"ASSEMBLER FOR PULLER-OVER, HAND",,,
320,"ASSEMBLER FOR PULLER-OVER, MACHINE",,,
321,"ASSEMBLER HELPER, INTERNAL COMBUSTION ENGINE",,,
322,"ASSEMBLER I",,,
323,"ASSEMBLER II",,,
324,"ASSEMBLER, AIRCRAFT POWER PLANT",,,
325,"ASSEMBLER, AIRCRAFT, STRUCTURES AND SURFACES",,,
326,"ASSEMBLER, ALUMINUM BOATS",,,
327,"ASSEMBLER, BICYCLE I",,,
328,"ASSEMBLER, BICYCLE II",,,
329,"ASSEMBLER, BILLIARD-TABLE",,,
330,"ASSEMBLER, CAMPER",,,
331,"ASSEMBLER, CARBON BRUSHES",,,
332,"ASSEMBLER, CLIP-ON SUNGLASSES",,,
333,"ASSEMBLER, COMPONENT",,,
334,"ASSEMBLER, CORNCOB PIPES",,,
335,"ASSEMBLER, DECK AND HULL",,,
336,"ASSEMBLER, DRY CELL AND BATTERY",,,
337,"ASSEMBLER, ELECTRICAL ACCESSORIES I",,,
338,"ASSEMBLER, ELECTRICAL ACCESSORIES II",,,
339,"ASSEMBLER, ELECTROMECHANICAL",,,
340,"ASSEMBLER, FAUCETS",,,
341,"ASSEMBLER, FILTERS",,,
342,"ASSEMBLER, FINGER BUFFS",,,
343,"ASSEMBLER, FISHING FLOATS",,,
344,"ASSEMBLER, GARMENT FORM",,,
345,"ASSEMBLER, GOLD FRAME",,,
346,"ASSEMBLER, GROUND SUPPORT EQUIPMENT",,,
347,"ASSEMBLER, IGNITER",,,
348,"ASSEMBLER, INSULATION AND FLOORING",,,
349,"ASSEMBLER, INTERNAL COMBUSTION ENGINE",,,
350,"ASSEMBLER, LAY-UPS",,,
351,"ASSEMBLER, LEATHER GOODS I",,,
352,"ASSEMBLER, LEATHER GOODS II",,,
353,"ASSEMBLER, LIQUID CENTER",,,
354,"ASSEMBLER, MARKING DEVICES",,,
355,"ASSEMBLER, MECHANICAL ORDNANCE",,,
356,"ASSEMBLER, MECHANICAL PENCILS AND BALLPOINT PENS",,,
357,"ASSEMBLER, METAL BONDING",,,
358,"ASSEMBLER, METAL BUILDING",,,
359,"ASSEMBLER, METAL FURNITURE",,,
360,"ASSEMBLER, MINING MACHINERY",,,
361,"ASSEMBLER, MOLDED FRAMES",,,
362,"ASSEMBLER, MOTOR VEHICLE",,,
363,"ASSEMBLER, MOVEMENT",,,
364,"ASSEMBLER, MUSICAL INSTRUMENTS",,,
365,"ASSEMBLER, PHOTOGRAPHIC EQUIPMENT",,,
366,"ASSEMBLER, PIANO",,,
367,"ASSEMBLER, PING-PONG TABLE",,,
368,"ASSEMBLER, PLASTIC HOSPITAL PRODUCTS",,,
369,"ASSEMBLER, PRINTED PRODUCTS",,,
370,"ASSEMBLER, PRODUCT",,,
371,"ASSEMBLER, PRODUCTION",,,
372,"ASSEMBLER, PRODUCTION LINE",,,
373,"ASSEMBLER, SANDAL PARTS",,,
374,"ASSEMBLER, SEMICONDUCTOR",,,
375,"ASSEMBLER, SKYLIGHTS",,,
376,"ASSEMBLER, SMALL PRODUCTS I",,,
377,"ASSEMBLER, SMALL PRODUCTS II",,,
378,"ASSEMBLER, STEAM-AND-GAS TURBINE",,,
379,"ASSEMBLER, SUBASSEMBLY",,,
380,"ASSEMBLER, SURGICAL GARMENT",,,
381,"ASSEMBLER, TUBING",,,
382,"ASSEMBLER, TYPE-BAR-AND-SEGMENT",,,
383,"ASSEMBLER, UNIT",,,
384,"ASSEMBLER, WATCH TRAIN",,,
385,"ASSEMBLER, WET WASH",,,
386,"ASSEMBLER, WIRE-MESH GATE",,,
387,"ASSEMBLER-AND-GLUER, LAMINATED PLASTICS",,,
388,"ASSEMBLER-ARRANGER",,,
389,"ASSEMBLER-INSTALLER, GENERAL",,,
390,"ASSEMBLY ADJUSTER",,,
391,"ASSEMBLY CLEANER",,,
392,"ASSEMBLY INSPECTOR",,,
393,"ASSEMBLY LOADER",,,
394,"ASSEMBLY OPERATOR",,,
395,"ASSEMBLY REPAIRER",,,
396,"ASSEMBLY SUPERVISOR",,,
397,"ASSEMBLY TECHNICIAN",,,
398,"Assembly Worker",,,
399,"ASSEMBLY-INSPECTOR HELPER",,,
400,"ASSEMBLY-LINE INSPECTOR",,,
401,"ASSEMBLY-MACHINE OPERATOR",,,
402,"ASSEMBLY-MACHINE TENDER",,,
403,"ASSEMBLY-MACHINE-SET-UP MECHANIC",,,
404,"ASSEMBLY-PRESS OPERATOR",,,
405,"Assessor",,,
406,"ASSIGNMENT CLERK",,,
407,"ASSIGNMENT EDITOR",,,
408,"Assistant",,,
409,"Assistant Caretaker",,,
410,"ASSISTANT CONSTRUCTION SUPERINTENDENT",,,
411,"Assistant Cook",,,
412,"ASSISTANT DESIGNER",,,
413,"Assistant Manager",,,
414,"Assistant Nurse",,,
415,"ASSISTANT PRESS OPERATOR, OFFSET",,,
416,"ASSISTANT PRINCIPAL",,,
417,"Assistant Teacher",,,
418,"ASSISTANT-PRESS OPERATOR",,,
419,"ASSORTER",,,
420,"ASTROLOGER",,,
421,"ASTRONOMER",,,
422,"ATHLETIC TRAINER",,,
423,"ATOMIC-FUEL ASSEMBLER",,,
424,"ATOMIZER ASSEMBLER",,,
425,"ATTENDANCE CLERK",,,
426,"ATTENDANCE OFFICER",,,
427,"Attendant",,,
428,"ATTENDANT, ARCADE",,,
429,"ATTENDANT, CAMPGROUND",,,
430,"ATTENDANT, CHILDREN'S INSTITUTION",,,
431,"ATTENDANT, LODGING FACILITIES",,,
432,"Au Pair",,,
433,"AUCTION ASSISTANT",,,
434,"AUCTION CLERK",,,
435,"Auction Worker",,,
436,"AUCTIONEER",,,
437,"AUDIOLOGIST",,,
438,"AUDIOMETRIST",,,
439,"AUDIO-VIDEO REPAIRER",,,
440,"AUDIOVISUAL LIBRARIAN",,,
441,"AUDIOVISUAL PRODUCTION SPECIALIST",,,
442,"AUDIOVISUAL TECHNICIAN",,,
443,"AUDIT CLERK",,,
444,"Audit Manager",,,
445,"AUDIT-MACHINE OPERATOR",,,
446,"AUDITOR",,,
447,"AUDITOR, COUNTY OR CITY",,,
448,"AUDITOR, DATA PROCESSING",,,
449,"AUDITOR, INTERNAL",,,
450,"AUDITOR, TAX",,,
451,"AUGER PRESS OPERATOR, MANUAL CONTROL",,,
452,"Auto Electrician",,,
453,"AUTO ROLLER",,,
454,"AUTO-BODY REPAIRER, FIBERGLASS",,,
455,"AUTOCLAVE OPERATOR",,,
456,"AUTOCLAVE OPERATOR I",,,
457,"AUTOCLAVE OPERATOR II",,,
458,"AUTO-DESIGN CHECKER",,,
459,"AUTO-DESIGN DETAILER",,,
460,"AUTOMAT-CAR ATTENDANT",,,
461,"AUTOMATED CUTTING MACHINE OPERATOR",,,
462,"AUTOMATED EQUIPMENT ENGINEER-TECHNICIAN",,,
463,"AUTOMATIC BANDSAW TENDER",,,
464,"AUTOMATIC CASTING-FORGING MACHINE OPERATOR",,,
465,"AUTOMATIC LUMP MAKING MACHINE TENDER",,,
466,"AUTOMATIC PATTERN EDGER",,,
467,"AUTOMATIC STACKER",,,
468,"AUTOMATIC-DOOR MECHANIC",,,
469,"AUTOMATIC-EQUIPMENT TECHNICIAN",,,
470,"AUTOMATIC-MACHINE ATTENDANT",,,
471,"AUTOMATIC-NAILING-MACHINE FEEDER",,,
472,"AUTOMATIC-PAD-MAKING-MACHINE OPERATOR",,,
473,"AUTOMATIC-PAD-MAKING-MACHINE OPERATOR HELPER",,,
474,"AUTOMATIC-WHEEL-LINE OPERATOR",,,
475,"AUTOMATIC-WINDOW-SEAT-AND-TOP-LIFT REPAIRER",,,
476,"AUTOMOBILE DETAILER",,,
477,"AUTOMOBILE LOCATOR",,,
478,"AUTOMOBILE MECHANIC",,,
479,"AUTOMOBILE RACER",,,
480,"AUTOMOBILE RENTAL CLERK",,,
